Date,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
2017-01-01,76,79,57,50,30,77,62,20,40,42
2017-01-02,64,91,42,59,46,64,61,25,35,51
2017-01-03,53,66,60,70,82,28,N/A,34,49,69
2017-01-04,65,72,43,53,39,75,67,35,43,49
2017-01-05,58,69,43,71,42,64,52,28,29,43
2017-01-06,55,74,66,72,73,44,47,46,65,56
2017-01-07,59,71,49,51,49,79,53,43,37,44
2017-01-08,53,61,72,82,77,29,31,47,42,73
2017-01-09,46,66,67,86,80,33,30,41,67,72
2017-01-10,63,58,54,79,76,48,41,41,64,69
2017-01-11,49,75,59,49,31,75,58,24,42,38
2017-01-12,58,85,56,56,41,61,76,35,48,51
2017-01-13,65,83,45,46,44,73,53,43,60,47
2017-01-14,66,93,47,55,39,69,62,26,34,43
2017-01-15,51,90,53,46,47,68,69,25,57,55
2017-01-16,65,86,39,53,47,67,59,23,39,55
2017-01-17,68,70,52,48,49,92,57,34,42,41
2017-01-18,63,84,50,61,41,73,72,43,52,54
2017-01-19,82,67,43,54,38,65,61,37,43,49
2017-01-20,65,76,60,52,44,66,59,33,46,39
2017-01-21,64,77,51,52,42,67,54,26,40,32
2017-01-22,44,68,51,52,51,85,60,24,48,53
2017-01-23,62,73,48,48,42,76,58,17,47,55
2017-01-24,61,71,55,54,40,65,51,31,43,43
2017-01-25,52,74,76,71,63,42,44,33,63,65
2017-01-26,73,85,45,58,40,80,49,32,38,50
2017-01-27,67,90,48,41,41,76,N/A,33,45,36
2017-01-28,64,76,49,56,39,74,63,31,47,44
2017-01-29,57,62,59,68,41,77,67,43,48,47
2017-01-30,50,77,38,57,51,65,54,35,48,48
2017-01-31,42,78,50,42,52,73,60,20,47,49
2017-02-01,55,74,26,54,43,78,59,35,44,48
2017-02-02,72,75,57,65,50,64,54,30,37,54
2017-02-03,56,74,56,41,38,66,55,39,50,48
2017-02-04,57,76,50,59,33,80,63,26,46,50
2017-02-05,59,74,47,56,48,61,63,31,50,45
2017-02-06,70,80,59,40,44,59,50,29,35,45
2017-02-07,63,81,48,61,38,70,53,23,54,57
2017-02-08,62,83,53,54,51,76,60,31,48,38
2017-02-09,66,80,44,39,38,67,51,32,40,56
2017-02-10,61,77,32,45,55,61,60,36,42,57
2017-02-11,66,82,45,50,42,75,60,45,57,34
2017-02-12,59,80,59,48,44,70,81,31,45,44
2017-02-13,58,69,51,53,43,65,58,45,49,44
2017-02-14,77,67,51,51,49,85,64,34,34,50
2017-02-15,54,71,54,45,40,72,55,28,40,47
2017-02-16,57,74,71,84,80,65,50,32,72,64
2017-02-17,63,73,47,56,56,62,62,20,46,54
2017-02-18,61,82,60,62,59,71,64,23,33,58
2017-02-19,56,78,50,52,58,71,57,26,N/A,52
2017-02-20,59,69,48,52,50,66,52,27,40,45
2017-02-21,57,78,69,80,75,44,39,33,68,66
2017-02-22,60,76,48,51,40,78,66,24,60,45
2017-02-23,55,72,62,57,53,75,61,28,38,52
2017-02-24,N/A,74,50,65,43,91,63,40,39,53
2017-02-25,63,71,45,48,45,76,60,35,34,49
2017-02-26,67,82,49,60,40,65,54,36,48,45
2017-02-27,64,75,47,54,48,75,53,38,54,41
2017-02-28,64,75,48,52,43,68,N/A,29,50,51
2017-03-01,62,81,45,51,44,87,60,35,42,49
2017-03-02,54,72,50,52,44,61,58,32,31,48
2017-03-03,73,75,49,61,52,79,65,34,51,49
2017-03-04,63,82,46,43,38,87,60,33,46,42
2017-03-05,72,76,63,55,45,64,60,28,46,36
2017-03-06,59,58,73,65,80,47,35,37,49,70
2017-03-07,63,70,43,47,40,67,66,28,35,37
2017-03-08,51,79,74,79,83,49,36,39,57,54
2017-03-09,77,62,49,51,46,63,60,30,45,38
2017-03-10,66,73,66,87,65,51,45,31,64,68
2017-03-11,70,79,38,54,41,84,61,39,47,57
2017-03-12,73,81,43,55,45,68,71,21,33,56
2017-03-13,58,78,56,59,52,76,65,36,45,46
2017-03-14,68,91,46,58,53,63,63,33,37,35
2017-03-15,46,68,73,74,84,44,38,38,72,69
2017-03-16,51,60,91,65,86,43,36,35,78,61
2017-03-17,73,81,56,51,41,65,51,33,48,49
2017-03-18,62,88,48,53,44,65,66,29,42,42
2017-03-19,56,64,54,56,44,70,46,37,28,50
2017-03-20,48,74,72,66,77,36,42,40,71,67
2017-03-21,73,86,36,58,47,83,84,37,54,41
2017-03-22,70,74,77,58,66,37,22,40,57,72
2017-03-23,63,71,63,78,69,58,35,40,59,60
2017-03-24,61,94,55,54,52,63,65,36,41,51
2017-03-25,60,65,39,53,58,63,83,31,43,38
2017-03-26,69,90,38,49,46,70,62,27,N/A,45
2017-03-27,55,81,62,76,64,57,48,32,73,63
2017-03-28,67,79,39,53,36,74,51,31,48,46
2017-03-29,75,86,38,52,43,66,55,40,43,41
2017-03-30,69,77,31,43,39,53,42,24,38,55
2017-03-31,62,71,57,52,45,77,59,30,51,54
2017-04-01,70,68,55,52,46,75,58,32,61,52
2017-04-02,65,76,51,55,47,74,63,29,38,52
2017-04-03,56,69,62,45,52,72,67,N/A,39,47
2017-04-04,68,79,49,61,51,65,66,32,58,58
2017-04-05,52,73,50,47,44,62,55,27,45,40
2017-04-06,67,79,49,51,41,76,58,25,38,39
2017-04-07,70,63,43,51,45,71,54,33,64,29
2017-04-08,59,86,41,51,41,72,60,43,49,42
2017-04-09,61,65,N/A,40,30,75,60,27,42,46
2017-04-10,66,85,54,56,46,68,50,25,38,46
2017-04-11,55,74,43,46,39,73,54,37,45,47
2017-04-12,75,80,47,52,28,65,58,33,29,47
2017-04-13,65,72,39,61,28,63,60,35,48,53
2017-04-14,60,77,48,43,45,73,77,21,46,36
2017-04-15,66,96,46,57,43,72,53,27,57,56
2017-04-16,67,92,53,60,51,68,54,30,44,47
2017-04-17,57,78,48,50,24,66,73,43,36,44
2017-04-18,74,74,48,46,47,69,61,26,37,38
2017-04-19,59,88,56,53,44,80,75,30,52,56
2017-04-20,69,64,44,57,37,68,65,27,38,55
2017-04-21,70,71,44,59,33,77,62,19,63,48
2017-04-22,62,70,45,65,52,69,63,19,53,53
2017-04-23,68,79,53,50,43,76,53,31,53,55
2017-04-24,72,82,37,48,59,60,53,31,43,44
2017-04-25,57,76,41,46,47,79,47,19,39,38
2017-04-26,68,84,46,46,32,77,62,22,47,56
2017-04-27,67,72,40,66,39,80,62,24,33,55
2017-04-28,53,68,50,51,49,83,62,34,48,46
2017-04-29,53,74,39,49,47,66,71,29,43,44
2017-04-30,58,83,49,52,35,72,80,N/A,36,36
2017-05-01,66,70,51,57,48,62,61,29,49,57
2017-05-02,66,87,56,49,44,77,55,38,47,32
2017-05-03,55,75,48,66,44,70,N/A,32,35,51
2017-05-04,61,86,56,59,39,71,53,34,39,58
2017-05-05,60,65,41,46,44,69,51,37,53,46
2017-05-06,57,80,52,52,48,58,61,28,47,52
2017-05-07,64,76,75,66,74,43,42,38,N/A,62
2017-05-08,N/A,64,57,46,58,66,66,47,33,35
2017-05-09,69,70,45,48,35,61,54,24,39,46
2017-05-10,67,N/A,48,47,50,66,66,27,44,52
2017-05-11,66,77,54,60,42,84,65,23,55,52
2017-05-12,60,89,47,49,30,79,55,24,39,39
2017-05-13,54,70,53,50,46,74,62,36,43,54
2017-05-14,50,82,38,53,51,69,69,36,38,49
2017-05-15,64,78,54,77,78,62,45,55,51,67
2017-05-16,66,73,54,53,42,88,61,36,39,45
2017-05-17,67,87,50,42,48,63,70,31,42,50
2017-05-18,75,82,52,51,37,74,52,29,51,50
2017-05-19,73,77,35,53,37,71,73,24,45,52
2017-05-20,53,81,47,55,51,80,N/A,23,42,52
2017-05-21,69,81,38,50,46,70,60,24,45,39
2017-05-22,59,77,42,40,26,80,65,27,48,38
2017-05-23,53,78,46,58,36,71,56,29,32,33
2017-05-24,54,69,66,77,71,43,36,33,63,75
2017-05-25,67,76,58,58,40,71,62,42,45,55
2017-05-26,60,68,52,57,41,83,N/A,34,28,51
2017-05-27,75,70,62,47,42,68,65,23,38,50
2017-05-28,60,67,47,45,42,89,63,17,44,51
2017-05-29,56,67,83,81,70,37,39,41,78,68
2017-05-30,69,72,44,56,39,67,56,25,44,58
2017-05-31,75,73,42,53,34,73,56,25,51,39
2017-06-01,59,75,57,50,43,69,57,30,36,57
2017-06-02,54,79,74,85,65,47,52,51,66,73
2017-06-03,40,76,68,89,77,52,33,31,65,78
2017-06-04,72,80,61,45,53,64,76,38,50,28
2017-06-05,63,85,44,40,33,68,60,28,43,40
2017-06-06,52,69,75,80,68,44,37,31,83,78
2017-06-07,52,64,57,57,56,69,N/A,39,37,54
2017-06-08,59,76,47,49,33,74,59,34,43,43
2017-06-09,72,96,68,34,45,58,55,45,45,49
