title,year,genre,rating,numvotes,plot
Harakiri,1962,"Action,Drama,History",8.7,29900,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
Trainspotting,1996,Drama,8.1,606949,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
Unforgiven,1992,"Drama,Western",8.2,353635,"Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The ""Schofield Kid"" (Jaimz Woolvett)."
Andrei Rublev,1966,"Biography,Drama,History",8.2,41586,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
Hachi: A Dog's Tale,2009,"Drama,Family",8.1,234221,A college professor bonds with an abandoned dog he takes into his home.
Inside Out,2015,"Animation,Adventure,Comedy",8.2,565244,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Raiders of the Lost Ark,1981,"Action,Adventure",8.4,839355,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before"
La Haine,1995,"Crime,Drama",8.1,136887,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
The Kid,1921,"Comedy,Drama,Family",8.3,103379,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
Wild Strawberries,1957,"Drama,Romance",8.2,87839,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
The Dark Knight Rises,2012,"Action,Adventure,Fantasy",8.4,1436641,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
The Big Lebowski,1998,"Comedy,Crime,Sport",8.1,686968,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
Modern Times,1936,"Comedy,Drama,Family",8.5,201027,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
The Apartment,1960,"Comedy,Drama,Romance",8.3,151297,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
The Great Dictator,1940,"Comedy,Drama,War",8.5,189094,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
A Separation,2011,Drama,8.3,205593,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
The Wages of Fear,1953,"Adventure,Drama,Thriller",8.1,50354,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",8.5,743646,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
The Bandit,1996,"Crime,Drama,Thriller",8.3,58416,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
The Departed,2006,"Crime,Drama,Thriller",8.5,1117892,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Parasite,2019,"Comedy,Crime,Drama",8.6,181052,"All unemployed, Ki-taek and his family take peculiar interest in the wealthy and glamorous Parks, as they ingratiate themselves into their lives and get entangled in an unexpected incident."
Bicycle Thieves,1948,Drama,8.3,134152,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it."
Casino,1995,"Crime,Drama",8.2,433314,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite."
Vertigo,1958,"Mystery,Romance,Thriller",8.3,335526,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.
The Intouchables,2011,"Biography,Comedy,Drama",8.5,707730,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
Whiplash,2014,"Drama,Music",8.5,654190,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Jurassic Park,1993,"Action,Adventure,Sci-Fi",8.1,812142,A pragmatic Paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
The Lord of the Rings: The Two Towers,2002,"Adventure,Drama,Fantasy",8.7,1403515,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
All About Eve,1950,Drama,8.2,113424,An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.
Ikiru,1952,Drama,8.3,61504,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
Braveheart,1995,"Biography,Drama,History",8.3,917384,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England."
Saving Private Ryan,1998,"Drama,War",8.6,1158888,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
The Dark Knight,2008,"Action,Crime,Drama",9.0,2168631,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
The Deer Hunter,1978,"Drama,War",8.1,293887,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
Children of Heaven,1997,"Drama,Family,Sport",8.3,57743,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
"The Good, the Bad and the Ugly",1966,Western,8.8,648477,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
Citizen Kane,1941,"Drama,Mystery",8.3,375821,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
Ford v Ferrari,2019,"Action,Biography,Drama",8.2,109513,"American car designer Carroll Shelby and driver Ken Miles battle corporate interference, the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966."
Ran,1985,"Action,Drama",8.2,103537,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
The Gold Rush,1925,"Adventure,Comedy,Drama",8.2,93070,A prospector goes to the Klondike in search of gold and finds it and more.
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure,Drama,Fantasy",8.8,1566685,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Fargo,1996,"Crime,Drama,Thriller",8.1,580924,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
Pan's Labyrinth,2006,"Drama,Fantasy,War",8.2,589289,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
The Seventh Seal,1957,"Drama,Fantasy",8.2,149860,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
Prisoners,2013,"Crime,Drama,Mystery",8.1,551917,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Blade Runner,1982,"Action,Sci-Fi,Thriller",8.1,653104,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
The Great Escape,1963,"Adventure,Drama,History",8.2,211886,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
In the Mood for Love,2000,"Drama,Romance",8.1,111692,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
City of God,2002,"Crime,Drama",8.6,665604,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
Logan,2017,"Action,Drama,Sci-Fi",8.1,597588,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Alien,1979,"Horror,Sci-Fi",8.4,742286,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
Django Unchained,2012,"Drama,Western",8.4,1265797,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
Snatch,2000,"Comedy,Crime",8.3,742311,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
No Country for Old Men,2007,"Crime,Drama,Thriller",8.1,796463,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Eternal Sunshine of the Spotless Mind,2004,"Drama,Romance,Sci-Fi",8.3,854198,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
12 Years a Slave,2013,"Biography,Drama,History",8.1,599937,"In the antebellum United States,"
Catch Me If You Can,2002,"Biography,Crime,Drama",8.1,758817,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor."
Into the Wild,2007,"Adventure,Biography,Drama",8.1,540490,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
Avengers: Endgame,2019,"Action,Adventure,Drama",8.5,657046,After the devastating events of
Aladdin,1992,"Animation,Adventure,Comedy",8.0,345345,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
It Happened One Night,1934,"Comedy,Romance",8.1,87726,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
Dial M for Murder,1954,"Crime,Thriller",8.2,146058,A tennis player frames his neglected wife for murder after she inadvertently foils his plan to have her murdered.
